amount,account_age,failed_logins,location_risk,device_trust,fraud
15895,86,3,62,37,0
960,25,9,10,28,0
76920,2,12,36,45,1
54986,119,9,13,51,0
6365,86,13,18,45,1
82486,5,11,7,74,1
37294,4,0,6,67,0
87598,36,19,58,58,1
44231,6,19,62,9,1
60363,116,6,6,97,0
16123,21,8,54,3,1
41190,77,7,2,51,0
67321,118,12,66,73,0
64920,101,13,17,96,1
869,119,11,44,17,1
59835,89,7,96,75,0
63055,26,17,91,50,0
65025,55,15,35,22,1
68069,39,10,15,24,0
5411,84,15,78,59,1
83204,33,13,28,36,1
53807,14,2,58,67,0
85405,56,1,17,76,1
28793,100,2,48,17,0
72032,81,3,45,28,0
93116,21,4,82,29,1
25758,46,9,28,91,0
84578,16,19,69,6,1
18531,110,1,49,87,0
2847,16,11,54,40,1
59250,84,4,26,73,0
65825,29,4,6,36,0
84754,92,0,90,26,1
35873,8,3,82,20,0
67535,88,11,80,99,1
56986,3,11,40,42,1
66903,89,15,10,50,1
31651,19,16,4,92,1
11494,97,9,65,70,0
69192,66,16,55,12,1
3990,79,16,11,52,1
41706,86,17,41,86,1
96376,74,1,74,62,1
80138,82,3,9,56,0
87413,22,18,27,24,1
10727,46,10,6,12,0
8892,113,16,13,36,1
74069,91,11,76,29,1
43101,13,1,68,89,0
76652,33,5,60,11,0
23997,5,8,50,64,0
68248,90,4,41,17,0
23583,77,19,7,84,1
48655,27,8,49,61,0
17259,78,7,0,23,0
80177,24,19,68,59,1
36020,67,7,10,16,1
92167,111,5,47,59,0
67221,115,2,9,8,0
69579,63,4,14,51,0
89575,113,8,46,91,0
19557,94,6,92,14,1
66657,99,3,24,76,0
77289,48,6,5,27,0
79053,63,4,10,80,0
53095,78,10,16,8,0
40857,12,14,14,55,1
9792,28,1,15,84,0
45858,44,12,55,93,1
72509,93,15,65,74,1
71311,43,6,35,93,0
65797,17,7,82,35,0
37165,40,5,37,55,0
92193,49,6,84,88,1
99399,85,17,74,70,1
32706,57,19,2,19,1
11634,87,6,97,54,0
94763,84,2,17,59,0
40497,64,4,78,34,0
91487,75,0,88,73,1
1116,57,14,53,98,1
89889,98,2,78,0,1
55691,74,7,93,77,0
89912,74,8,16,44,0
23347,107,14,81,68,0
24400,70,9,94,39,0
74165,100,1,81,37,1
82898,88,19,98,97,1
9368,76,4,12,23,0
86907,43,18,62,3,1
12285,119,12,13,90,1
63804,23,10,58,68,0
86879,27,0,35,12,0
39199,58,14,17,20,1
8671,109,17,4,31,1
38144,37,15,13,37,1
51314,6,8,24,94,0
61328,65,0,43,31,0
49084,6,10,38,78,1
40874,50,8,11,56,0
2668,22,10,60,47,0
62692,105,12,61,29,1
67663,88,1,52,70,0
2795,25,13,52,37,1
48290,79,5,27,94,1
5358,90,7,34,43,0
87638,72,17,64,25,1
39604,51,15,2,99,1
33259,88,11,42,89,1
14086,48,10,49,1,0
61958,102,5,70,42,0
12766,70,2,8,42,0
38760,118,13,35,62,1
3661,99,1,22,72,0
26954,106,10,87,57,1
64605,65,2,73,47,0
52351,60,17,49,4,1
22762,46,0,54,90,0
8492,36,0,11,75,0
30635,58,11,82,34,1
78703,76,14,31,92,1
52356,38,4,23,15,0
89235,11,5,85,82,1
35322,12,15,66,48,1
77473,42,11,26,59,1
79675,114,11,60,50,1
96454,39,2,18,90,0
84751,71,1,72,81,1
63435,11,6,50,58,0
11065,36,1,63,63,0
24638,52,6,76,12,1
70692,31,10,1,93,0
98118,33,10,35,25,1
8210,13,13,92,69,1
79409,18,2,10,2,0
27366,41,13,97,86,0
53092,58,10,67,11,1
83048,56,3,67,40,0
98906,24,16,63,78,1
7010,73,15,0,64,1
91082,31,2,88,62,1
306,55,9,25,49,0
87154,105,14,10,46,1
87997,10,7,86,7,0
23519,60,17,1,30,1
50736,2,2,82,10,1
50115,102,6,92,16,1
54368,15,9,39,26,0
88039,3,19,3,94,1
18241,43,8,79,26,0
80456,31,13,36,77,1
72010,70,13,60,86,1
56144,67,10,90,55,0
67314,56,0,4,68,0
33927,63,3,14,93,0
55920,75,5,86,97,0
62723,15,4,66,46,0
81834,109,2,81,18,1
75550,116,1,25,56,0
93526,92,2,5,30,0
22399,10,8,43,15,0
43685,38,18,57,44,1
64144,47,18,80,26,0
42657,57,16,45,60,1
49180,50,17,41,25,0
2793,114,10,47,28,0
95103,71,11,26,43,1
95359,15,2,19,28,0
69263,18,17,69,94,1
26039,82,5,34,1,0
49025,116,6,75,5,1
43041,105,0,47,8,0
21934,88,5,66,14,1
18147,2,17,67,83,1
26205,104,12,51,57,1
75866,84,18,67,1,1
15807,98,6,3,2,0
22076,43,18,38,51,1
44362,26,8,20,54,0
23876,71,2,65,52,0
30180,38,11,15,93,1
66942,94,19,6,71,1
61473,42,17,82,39,1
6876,5,7,96,84,0
92887,11,8,8,38,0
55116,65,12,16,42,1
9574,34,7,90,12,1
58153,1,9,96,36,0
22059,83,16,11,54,1
5630,2,6,56,31,0
94956,85,16,44,13,1
3848,20,17,10,64,1
97604,61,1,12,26,0
98198,87,2,30,23,0
13645,21,18,76,21,1
66299,88,0,25,77,0
34866,68,9,62,44,0
73630,12,13,30,7,1
93657,22,12,21,90,1
61187,20,8,5,66,0
95939,82,5,19,63,0
68940,1,5,84,96,0
54484,30,18,9,46,1
51105,97,9,82,20,0
46676,24,2,34,31,0
39453,14,17,25,44,1
62103,36,18,70,43,1
83311,69,4,36,40,0
52833,75,10,7,95,0
65418,24,9,4,51,0
89574,60,16,43,87,0
23764,95,3,99,10,1
67272,55,17,91,84,1
85716,77,17,66,17,0
93364,80,0,71,10,1
26836,24,13,78,26,1
94309,77,7,90,42,1
954,24,1,48,64,0
90184,54,18,35,53,1
38723,26,14,79,28,1
7492,66,1,25,20,0
55780,80,3,44,28,0
46817,38,0,60,8,0
87192,110,18,43,60,1
50959,65,9,3,61,0
26409,113,0,75,70,0
87555,75,19,80,94,1
63834,51,14,57,90,1
70567,35,3,25,95,0
52762,43,6,94,4,1
98606,29,6,78,96,1
12788,37,17,97,14,1
25442,81,12,28,56,1
37257,58,9,8,4,0
67963,54,7,77,19,1
52183,39,9,35,80,0
65833,42,13,3,3,1
89145,28,13,58,55,1
34798,29,19,36,84,0
80723,43,10,87,33,1
22771,3,5,80,39,0
25284,116,0,12,68,0
93484,10,18,19,67,1
42207,59,6,16,21,1
86302,106,17,50,13,1
51763,14,2,90,67,0
15808,76,19,54,7,1
92006,47,10,32,66,0
49911,42,4,20,45,0
2911,94,18,80,28,1
56350,32,1,21,89,0
72182,32,3,24,93,0
34854,42,9,66,11,0
95842,32,1,90,78,1
11511,26,7,90,51,0
3011,115,0,11,57,0
67370,1,5,14,1,0
83863,56,10,83,0,1
8780,106,9,85,54,0
84996,2,12,1,91,1
83979,81,0,3,98,0
71395,30,1,44,33,0
88714,103,2,12,63,0
11211,71,8,54,67,0
37604,52,4,31,81,0
1902,91,9,21,11,0
8255,9,9,88,49,0
73756,22,11,90,20,1
39484,34,17,54,9,1
47354,110,0,16,84,0
22018,49,2,69,88,0
86081,1,4,50,80,0
60813,73,16,79,69,1
30406,84,7,7,13,0
16746,53,16,60,39,1
46943,83,8,96,81,1
96701,100,5,9,29,0
90835,40,16,97,72,1
16471,45,7,18,13,0
77471,68,6,13,51,0
2149,9,6,66,16,1
31716,105,14,54,61,1
21032,22,6,60,97,0
29955,18,7,55,21,0
61534,76,8,62,52,0
72794,106,14,86,31,1
43116,43,1,10,75,0
7500,39,6,46,54,0
42742,73,14,5,79,0
15251,6,17,33,21,1
51507,83,17,64,37,1
66790,48,9,98,49,0
4599,111,17,88,65,1
6395,7,0,63,44,0
59140,80,6,92,7,1
12283,69,2,86,64,0
29399,16,13,81,39,1
12974,1,11,77,4,1
32811,115,13,80,44,1
5639,37,3,65,45,0
53451,103,12,30,35,1
61367,83,15,82,16,1
48454,118,15,95,40,1
2657,37,4,61,29,0
38460,81,19,53,51,1
82118,64,5,91,78,1
2300,90,5,7,19,0
68597,86,17,41,35,1
47075,62,5,40,65,0
21457,72,6,58,44,0
77605,61,15,39,3,1
2969,33,8,21,49,0
61235,66,12,23,87,1
50208,30,11,37,54,1
94279,111,18,1,58,1
90372,20,0,40,41,0
38567,60,7,18,1,0
23428,82,3,1,45,0
91512,107,18,91,1,1
86931,74,4,95,49,1
4087,24,16,61,0,1
58971,4,2,82,12,1
22499,37,18,15,69,1
46314,4,0,93,21,0
99622,77,0,21,16,0
86516,89,19,13,58,1
70371,77,8,55,85,0
44164,18,4,64,69,0
70191,88,6,44,2,0
40918,66,5,53,69,0
45625,48,16,65,80,1
19930,33,16,85,98,1
17529,58,12,45,48,1
6993,83,11,32,49,0
80009,73,3,78,34,1
47433,28,7,49,22,1
3536,35,4,21,71,0
74390,103,4,39,6,0
76313,10,12,38,49,1
5995,65,10,40,9,0
19838,42,7,74,89,0
30846,85,7,67,54,0
49477,9,0,6,73,0
48504,60,12,84,18,1
54145,111,4,70,22,0
97988,15,7,3,94,0
39890,99,16,75,63,1
5700,57,12,90,32,1
94760,69,8,58,65,0
93279,105,1,80,91,1
40864,22,18,83,95,1
74643,64,19,94,96,1
45814,41,16,25,8,1
56935,87,6,30,28,0
73844,71,2,98,78,1
56591,56,18,72,17,1
18689,23,18,68,81,1
43584,108,8,51,70,0
83089,25,9,71,77,1
36312,91,13,20,28,1
43625,105,17,15,82,1
47302,6,14,50,60,1
32735,119,0,15,4,0
63308,34,5,17,68,0
33928,63,14,46,55,1
18811,9,5,55,51,0
3520,60,17,27,14,1
96852,49,0,81,89,1
401,97,2,77,87,0
45336,51,16,55,82,1
66335,60,15,36,19,1
54340,70,7,15,72,0
65826,37,16,84,91,1
10592,31,7,64,15,1
6202,98,16,59,74,1
50436,41,8,60,97,0
85414,62,11,10,24,0
26741,93,18,74,56,1
34684,58,3,65,20,1
32845,14,10,31,4,0
23193,36,3,18,74,0
66205,36,13,55,8,1
51985,117,13,4,10,1
36731,79,5,2,64,0
73091,8,16,27,62,1
4114,26,1,89,25,0
11193,36,7,86,73,1
18170,48,3,93,18,1
35877,85,9,71,15,0
57058,28,6,99,55,0
82174,68,3,28,67,0
10829,62,15,76,77,1
99813,80,13,58,29,1
45117,86,15,24,6,1
66420,76,8,21,11,0
27851,80,3,96,23,0
78169,51,5,70,21,0
54848,104,0,22,46,0
5901,102,6,69,29,0
19290,42,0,78,59,0
49789,101,18,78,38,0
51093,29,7,39,19,0
29692,82,2,97,25,1
10747,10,0,13,48,0
8816,106,0,28,68,0
88991,39,6,15,41,0
87645,82,12,92,5,1
90012,1,0,86,52,1
70416,39,15,9,33,1
2468,21,13,46,68,1
77675,65,3,3,9,0
6755,15,11,11,27,1
70131,4,11,41,2,0
76529,60,16,97,76,1
91183,61,14,3,47,1
88022,20,9,83,65,1
55866,10,2,91,34,0
13503,87,19,91,51,1
32197,105,19,5,61,0
78757,34,11,13,51,1
11066,110,0,34,46,0
99257,48,0,46,53,0
93948,33,9,57,27,0
53021,98,17,64,22,1
49826,103,14,18,86,1
50400,61,1,56,34,0
22777,10,16,64,31,0
55709,54,7,12,1,0
96925,84,8,7,15,0
56761,65,19,17,15,1
31124,77,10,34,50,0
70413,1,5,86,66,1
53106,5,13,25,91,1
95385,80,0,37,92,0
15438,15,6,83,53,0
68127,113,8,65,19,1
92872,28,10,25,99,0
80235,95,15,56,32,1
19608,23,18,99,85,1
3151,112,1,24,7,1
48847,109,14,29,23,1
87242,107,2,81,52,1
87335,17,3,6,63,0
54121,113,19,26,57,1
66512,98,6,10,36,0
58435,13,11,7,83,1
56279,14,3,10,11,0
32193,11,9,87,83,0
69778,28,5,29,83,0
80838,42,13,93,3,1
39834,96,2,14,93,0
72715,99,16,55,30,1
73623,61,10,34,85,0
94576,64,9,38,78,0
17119,31,9,23,37,0
83713,81,9,7,36,0
91894,111,2,42,91,0
86772,73,14,41,74,1
73947,10,16,83,13,1
82850,8,17,40,74,1
79734,21,18,46,72,1
28351,77,18,25,23,1
26045,59,11,51,9,1
90952,50,4,87,37,0
32317,69,15,21,42,1
8408,70,14,4,36,1
6049,30,14,14,41,1
52090,95,5,35,31,1
1250,17,11,62,83,1
89580,75,1,92,13,1
74840,20,19,78,3,1
66717,48,8,90,23,1
94941,73,3,48,95,0
16996,2,4,54,9,1
46275,37,7,71,15,1
7905,1,9,59,38,0
5337,4,6,56,95,0
20156,100,13,28,17,1
45643,54,4,18,24,0
56656,25,15,94,6,1
3443,3,14,72,55,1
13600,9,4,9,46,0
53322,86,2,9,81,0
